Frame,Visibility,X,Y,Z,Event,Timestamp
0,0,0.0,0.0,0.0,0,0.0
1,0,0.0,0.0,0.0,0,0.008394962623370718
2,0,0.0,0.0,0.0,0,0.016789925246741437
3,0,0.0,0.0,0.0,0,0.025184887870112152
4,0,0.0,0.0,0.0,0,0.033579850493482874
5,0,0.0,0.0,0.0,0,0.04197481311685359
6,0,0.0,0.0,0.0,0,0.050369775740224304
7,0,0.0,0.0,0.0,0,0.058764738363595026
8,0,0.0,0.0,0.0,0,0.06715970098696575
9,0,0.0,0.0,0.0,0,0.07555466361033646
10,0,0.0,0.0,0.0,0,0.08394962623370718
11,0,0.0,0.0,0.0,0,0.0923445888570779
12,0,0.0,0.0,0.0,0,0.10073955148044861
13,0,0.0,0.0,0.0,0,0.10913451410381933
14,0,0.0,0.0,0.0,0,0.11752947672719005
15,0,0.0,0.0,0.0,0,0.12592443935056077
16,0,0.0,0.0,0.0,0,0.1343194019739315
17,0,0.0,0.0,0.0,0,0.1427143645973022
18,0,0.0,0.0,0.0,0,0.1511093272206729
19,0,0.0,0.0,0.0,0,0.15950428984404363
20,0,0.0,0.0,0.0,0,0.16789925246741436
21,0,0.0,0.0,0.0,0,0.17629421509078508
22,0,0.0,0.0,0.0,0,0.1846891777141558
23,0,0.0,0.0,0.0,0,0.1930841403375265
24,0,0.0,0.0,0.0,0,0.20147910296089722
25,0,0.0,0.0,0.0,0,0.20987406558426794
26,0,0.0,0.0,0.0,0,0.21826902820763866
27,0,0.0,0.0,0.0,0,0.22666399083100938
28,0,0.0,0.0,0.0,0,0.2350589534543801
29,0,0.0,0.0,0.0,0,0.2434539160777508
30,0,0.0,0.0,0.0,0,0.25184887870112155
31,0,0.0,0.0,0.0,0,0.26024384132449224
32,0,0.0,0.0,0.0,0,0.268638803947863
33,0,0.0,0.0,0.0,0,0.2770337665712337
34,0,0.0,0.0,0.0,0,0.2854287291946044
35,1,1331.0,602.0,0.0,0,0.29382369181797513
36,1,1327.0,601.0,0.0,0,0.3022186544413458
37,1,1325.0,605.0,0.0,0,0.3106136170647166
38,1,1312.0,612.0,0.0,0,0.31900857968808727
39,1,1293.0,623.0,0.0,0,0.32740354231145796
40,1,1276.0,631.0,0.0,0,0.3357985049348287
41,1,1256.0,637.0,0.0,0,0.3441934675581994
42,1,1235.0,645.0,0.0,0,0.35258843018157016
43,1,1223.0,653.0,0.0,0,0.36098339280494085
44,1,1205.0,664.0,0.0,0,0.3693783554283116
45,1,1193.0,668.0,0.0,0,0.3777733180516823
46,1,1179.0,681.0,0.0,0,0.386168280675053
47,1,1163.0,683.0,0.0,0,0.39456324329842374
48,1,1155.0,694.0,0.0,0,0.40295820592179443
49,1,1142.0,700.0,0.0,0,0.4113531685451652
50,1,1130.0,706.0,0.0,0,0.4197481311685359
51,1,1117.0,709.0,0.0,0,0.4281430937919066
52,1,1108.0,717.0,0.0,0,0.4365380564152773
53,1,1094.0,720.0,0.0,0,0.444933019038648
54,1,1084.0,725.0,0.0,0,0.45332798166201876
55,1,1073.0,728.0,0.0,0,0.46172294428538946
56,1,1064.0,733.0,0.0,0,0.4701179069087602
57,1,1054.0,736.0,0.0,0,0.4785128695321309
58,1,1048.0,742.0,0.0,0,0.4869078321555016
59,1,1037.0,747.0,0.0,0,0.49530279477887235
60,1,1030.0,752.0,0.0,0,0.5036977574022431
61,1,1022.0,755.0,0.0,0,0.5120927200256138
62,1,1018.0,758.0,0.0,0,0.5204876826489845
63,1,1007.0,763.0,0.0,0,0.5288826452723552
64,1,1000.0,767.0,0.0,0,0.537277607895726
65,1,994.0,771.0,0.0,0,0.5456725705190967
66,1,990.0,775.0,0.0,0,0.5540675331424674
67,1,984.0,776.0,0.0,0,0.5624624957658381
68,1,979.0,779.0,0.0,0,0.5708574583892088
69,1,972.0,782.0,0.0,0,0.5792524210125796
70,1,967.0,787.0,0.0,0,0.5876473836359503
71,1,963.0,790.0,0.0,0,0.596042346259321
72,1,956.0,793.0,0.0,0,0.6044373088826916
73,1,952.0,794.0,0.0,0,0.6128322715060623
74,1,949.0,797.0,0.0,0,0.6212272341294331
75,1,945.0,800.0,0.0,0,0.6296221967528038
76,1,941.0,805.0,0.0,0,0.6380171593761745
77,1,937.0,806.0,0.0,0,0.6464121219995452
78,1,935.0,808.0,0.0,0,0.6548070846229159
79,1,929.0,812.0,0.0,0,0.6632020472462867
80,1,925.0,814.0,0.0,0,0.6715970098696574
81,1,924.0,813.0,0.0,0,0.6799919724930281
82,1,921.0,817.0,0.0,0,0.6883869351163988
83,1,917.0,820.0,0.0,0,0.6967818977397696
84,1,915.0,822.0,0.0,0,0.7051768603631403
85,1,913.0,825.0,0.0,0,0.713571822986511
86,1,907.0,826.0,0.0,0,0.7219667856098817
87,1,905.0,828.0,0.0,0,0.7303617482332524
88,1,906.0,832.0,0.0,0,0.7387567108566232
89,1,903.0,833.0,0.0,0,0.7471516734799939
90,1,901.0,834.0,0.0,0,0.7555466361033646
91,1,899.0,836.0,0.0,0,0.7639415987267353
92,1,897.0,837.0,0.0,0,0.772336561350106
93,1,896.0,839.0,0.0,0,0.7807315239734768
94,1,893.0,842.0,0.0,0,0.7891264865968475
95,1,892.0,843.0,0.0,0,0.7975214492202182
96,1,892.0,845.0,0.0,0,0.8059164118435889
97,1,889.0,847.0,0.0,0,0.8143113744669596
98,1,890.0,848.0,0.0,0,0.8227063370903304
99,1,889.0,849.0,0.0,0,0.8311012997137011
100,1,887.0,850.0,0.0,0,0.8394962623370718
101,1,884.0,854.0,0.0,0,0.8478912249604424
102,1,884.0,856.0,0.0,0,0.8562861875838133
103,1,883.0,856.0,0.0,0,0.864681150207184
104,1,883.0,857.0,0.0,0,0.8730761128305546
105,1,882.0,859.0,0.0,0,0.8814710754539253
106,1,883.0,860.0,0.0,0,0.889866038077296
107,1,881.0,863.0,0.0,0,0.8982610007006668
108,1,882.0,865.0,0.0,0,0.9066559633240375
109,1,881.0,865.0,0.0,0,0.9150509259474082
110,1,881.0,868.0,0.0,0,0.9234458885707789
111,1,880.0,869.0,0.0,0,0.9318408511941496
112,1,878.0,867.0,0.0,0,0.9402358138175204
113,1,881.0,871.0,0.0,0,0.9486307764408911
114,1,882.0,872.0,0.0,0,0.9570257390642618
115,1,881.0,874.0,0.0,0,0.9654207016876325
116,1,880.0,874.0,0.0,0,0.9738156643110032
117,1,880.0,875.0,0.0,0,0.982210626934374
118,1,884.0,876.0,0.0,0,0.9906055895577447
119,1,884.0,877.0,0.0,0,0.9990005521811154
120,1,879.0,879.0,0.0,0,1.0073955148044862
121,1,882.0,880.0,0.0,0,1.0157904774278568
122,1,881.0,879.0,0.0,0,1.0241854400512276
123,1,884.0,882.0,0.0,0,1.0325804026745982
124,1,885.0,884.0,0.0,0,1.040975365297969
125,1,884.0,885.0,0.0,0,1.0493703279213398
126,1,884.0,887.0,0.0,0,1.0577652905447104
127,1,886.0,886.0,0.0,0,1.0661602531680812
128,1,887.0,889.0,0.0,0,1.074555215791452
129,1,888.0,888.0,0.0,0,1.0829501784148226
130,1,888.0,889.0,0.0,0,1.0913451410381934
131,1,891.0,890.0,0.0,0,1.099740103661564
132,1,890.0,891.0,0.0,0,1.1081350662849347
133,1,893.0,892.0,0.0,0,1.1165300289083055
134,1,894.0,895.0,0.0,0,1.1249249915316761
135,1,895.0,893.0,0.0,0,1.133319954155047
136,1,896.0,896.0,0.0,0,1.1417149167784175
137,1,896.0,895.0,0.0,0,1.1501098794017883
